"will","remove","you","free","charExclamation","charDollar","type"
1.19,0.59,4.76,0,0.427,0,"spam"
0.8,0.4,4,0,0.706,0.212,"spam"
2.07,0,7.05,0.41,0.97,0.149,"spam"
0,0.38,3.04,0.38,0.598,0.179,"spam"
0,0.4,4,0.4,0.121,0,"spam"
0,0,2.25,0.56,0.606,0,"spam"
0.64,0.16,1.6,0,0.299,0.174,"spam"
0,0,0,0,0.215,0.431,"spam"
0.39,0,0.59,0.98,0.16,0.16,"spam"
0.39,0,0.59,0.98,0.16,0.16,"spam"
0.33,0,2.33,0.66,0.12,0.541,"spam"
0,0,0,2.98,0,0,"spam"
1.65,0,1.65,0.82,0,0,"spam"
0.33,0,2.33,0.66,0.12,0.541,"spam"
0,1.58,1.58,0,0.558,0.279,"spam"
0.73,0,3.08,0.23,0.335,1.281,"spam"
0,1.58,1.58,0,0.558,0.279,"spam"
1.38,0,4.16,2.77,0.715,0,"spam"
0,0,0,0,0.215,0.431,"spam"
0.33,0,2.33,0.66,0.12,0.541,"spam"
0,0.14,0.58,0.14,0.865,0.023,"spam"
0.72,0,0.72,0,0.063,0.126,"spam"
0.54,0,2.17,0.81,0.565,0.121,"spam"
0.39,0,3.13,0,0.261,0,"spam"
0.56,1.12,3.95,0.56,1.32,0.33,"spam"
0,0,4.05,0,0.2,0,"spam"
0,0,1.24,0.62,1.055,0,"spam"
0,0,2.02,0.33,0.484,0,"spam"
0,0,4.76,4.76,0,0,"spam"
0,1.31,1.31,0,0.117,0.117,"spam"
0,0.45,1.81,0.45,0.135,0,"spam"
2.13,0,0.85,0,1.088,0,"spam"
0,0,0.27,0,0,0.185,"spam"
0,0,0.21,0.43,0.146,0.146,"spam"
1.38,0,2.77,0,0.081,0.816,"spam"
0,0,3.66,0.87,0.265,0,"spam"
0,0.34,1.03,0.68,0,0,"spam"
1.38,0,2.77,0,0.081,0.816,"spam"
3.1,0.62,5.59,0,0.517,0,"spam"
0,1.05,0,0,0,0,"spam"
0.71,0,1.77,0.35,0.7,0,"spam"
0,0.15,0.15,0.15,0.567,0.024,"spam"
1.15,0.57,4.62,0,0.518,0,"spam"
0,0.26,1.32,0.79,0.31,0,"spam"
0.6,0.08,1.2,0,0.095,0.013,"spam"
0,0,2.5,0.5,0.892,0,"spam"
0,0,1.64,0.54,1.443,0,"spam"
1.56,0,3.12,0,0.889,0,"spam"
0,0,4.08,0,0.968,0,"spam"
0,0,0,0,0,0,"spam"
1.34,0,4.03,0.44,0.944,0.145,"spam"
0.66,0,2.64,0.33,0.583,0,"spam"
0,0,4.08,0,0.969,0,"spam"
0.51,0.08,3.01,0.08,0.258,0.258,"spam"
0.52,0.08,3.03,0.08,0.259,0.259,"spam"
2.18,0,0.87,0,0.835,0,"spam"
1.33,0,4.46,0.44,1.083,0.144,"spam"
0,0,2.53,0,0.118,0,"spam"
0,0,0,0,1.754,0,"spam"
0.17,0,1.19,0.05,0.032,0.14,"spam"
3.12,3.12,6.25,3.12,0,0,"spam"
1.59,0,6.91,1.59,0.28,0.186,"spam"
0,0.93,1.87,0.46,0.135,0,"spam"
2.25,1.12,2.25,2.25,0,0,"spam"
0.66,0,5.29,0,0.83,0.069,"spam"
0.8,0,0.8,1.61,1.192,0,"spam"
0,0.14,0.43,0.14,0.585,0.046,"spam"
0.6,0.08,1.2,0,0.095,0.013,"spam"
0.81,0,1.63,0,0.294,0.147,"spam"
0.54,1.08,4.32,0.54,1.18,0.252,"spam"
0.6,0.08,1.2,0,0.108,0.013,"spam"
0.53,1.07,4.3,0.53,1.183,0.253,"spam"
0,0.51,1.03,2.07,0.067,0,"spam"
0.54,1.09,3.84,0.54,1.045,0.321,"spam"
0.38,0,2.7,0.38,0.985,0.184,"spam"
0.39,0,2.73,0.39,0.869,0.186,"spam"
0.43,0.86,1.29,0,0.915,0,"spam"
0,0,1.83,0,0.187,0.112,"spam"
0,0,2.25,0.56,0.615,0,"spam"
0,0,1.67,0.55,0.893,0,"spam"
0.65,0,5.26,0,0.816,0.068,"spam"
0,0.61,2.46,0,0.353,0,"spam"
0.88,0.44,3.33,0.44,0.563,0.15,"spam"
0.51,0.08,3,0.08,0.287,0.223,"spam"
0,1.04,2.08,2.08,0,0,"spam"
0,1.33,1.33,0,0.202,1.417,"spam"
0.54,1.08,4.32,0.54,1.182,0.253,"spam"
0.62,0,3.12,0,0.08,0,"spam"
0,0,3.63,0.9,0.165,0.165,"spam"
0.25,0,0.05,0.05,0,0.022,"spam"
0.25,0,0.05,0.05,0,0.022,"spam"
1.25,0.53,2.5,0.62,0.212,0.185,"spam"
0,0,1.44,0.96,0.468,0.267,"spam"
1.38,0,2.77,0,0.081,0.816,"spam"
0.68,0.68,5.86,0.68,0.366,0.061,"spam"
0.9,0,2.7,0.72,0.633,0.063,"spam"
0.78,0.39,2.61,1.57,0.779,0.021,"spam"
0.32,0.32,2.28,0.32,0,0.157,"spam"
0.32,0.32,2.27,0.32,0,0.159,"spam"
0.39,0,4.52,0.59,0.258,0.032,"spam"
0,0,1.84,0,0.188,0.112,"spam"
0,0,1.42,0.71,1.094,0,"spam"
0,2.98,0,1.49,0,0.171,"spam"
0,0.16,0.66,0.5,0.884,0.752,"spam"
0,0,2.2,0.55,0.683,0,"spam"
0,0.16,0.32,0.16,0.773,0.08,"spam"
0.36,0,0.72,0,0,0,"spam"
0.84,1.69,0.84,10.16,1.113,0.278,"spam"
0,0,1.29,0,0,0,"spam"
0,0,1.29,0,0,0,"spam"
0.6,0.08,1.2,0,0.088,0.013,"spam"
0.54,2.18,3.27,0,0.471,0,"spam"
0.85,0,4.7,0.85,0,0.082,"spam"
0,0,0,1.05,1.806,0,"spam"
0.9,0,1.35,0.22,0.129,0.193,"spam"
0.55,2.23,3.35,0,0.479,0,"spam"
1.12,0,4.49,0,0.814,0,"spam"
0.32,0.32,2.28,0.32,0,0.158,"spam"
0,0,1.43,0,0.937,0,"spam"
0.55,2.23,3.35,0,0.479,0,"spam"
0,1.07,0,2.15,0.145,0.437,"spam"
0,0,1.42,0.95,0.461,0.263,"spam"
0,0.15,0.79,1.11,0.862,0.707,"spam"
0,0,0.39,0,0,0,"spam"
0.76,0,2.3,0,2.766,0.829,"spam"
1.3,0.08,3.5,0.48,0.39,0.097,"spam"
1.04,0,2.37,1.11,0.75,0.305,"spam"
0.97,0,2.23,1.11,0.75,0.305,"spam"
0,0,0,4,2.453,0,"spam"
0,0,1.42,0,0.931,0,"spam"
0,0,1.6,0.8,1.62,0.347,"spam"
0.33,0.33,1.98,0.33,0,0.162,"spam"
1.48,0.07,3.55,0,0.159,0.159,"spam"
0.33,0.33,1.98,0.33,0,0.161,"spam"
0,0.15,0.79,1.11,0.862,0.707,"spam"
0,0,2.48,0.31,0.043,0,"spam"
0,0.17,0.17,0.17,0.665,0.083,"spam"
0,0,3.17,0.79,0.271,0.135,"spam"
0.58,0,2.35,0.14,0.204,0.127,"spam"
0,0,2.22,0,0.784,0,"spam"
1.5,0,2.5,0.25,0.203,0.203,"spam"
0,1.16,2.92,0.58,0.09,0.09,"spam"
0.58,0,2.35,0.14,0.204,0.127,"spam"
0.58,0,2.35,0.14,0.204,0.127,"spam"
0.58,0.58,1.76,0.58,0.829,0,"spam"
1.51,0,3.29,0,0.041,0.124,"spam"
3.12,3.12,6.25,0,0,0,"spam"
0.57,2.28,3.42,0,0.487,0,"spam"
0.52,0.17,0.88,0,0.085,0.057,"spam"
0,0,1.42,0.95,0.401,0.267,"spam"
0.57,2.28,3.42,0,0.487,0,"spam"
0,0.17,0.34,0.17,0.315,0,"spam"
0.57,2.28,3.42,0,0.487,0,"spam"
0,3.27,0,1.63,0.54,0.18,"spam"
0,0.14,0.58,0.87,0.764,0.784,"spam"
0,0.19,0.19,0.19,0.632,0.03,"spam"
1.2,0.2,2.21,0.4,1.453,0.129,"spam"
0,0,0.91,0,0.531,0,"spam"
0,0.15,0.61,0.92,0.732,0.753,"spam"
0,0,1.56,0.52,0.867,0,"spam"
0,0,2.14,0.42,1.117,0,"spam"
0.54,0.06,4.48,0,0.01,0.167,"spam"
1.04,0.2,2.4,0.1,0.785,0.065,"spam"
0,5.4,1.8,5.4,0.841,0.21,"spam"
1.61,0.17,1.97,0,1.158,0.057,"spam"
1.37,0.08,3.43,0.51,0.348,0.103,"spam"
0.69,0.23,2.76,0,0.841,0.036,"spam"
0.26,0,0.32,0,0,0.032,"spam"
1.05,0,3.7,1.05,0.702,0.263,"spam"
0.32,0.32,2.27,0.32,0,0.157,"spam"
0.54,0,2.17,0.54,0.715,0.318,"spam"
0,0,3.27,1.63,0.759,0.253,"spam"
2.07,0,2.45,0,0.242,0.107,"spam"
1.06,0.35,5.3,0.7,0.411,0,"spam"
2.06,2.41,4.13,0,0,0,"spam"
2.07,0,2.45,0,0.295,0.107,"spam"
0.64,0.64,1.28,0.64,0.551,0.459,"spam"
0.32,0.32,2.28,0.32,0,0.159,"spam"
0.64,0.64,1.28,0.64,0.554,0.369,"spam"
0.75,0,0.94,0.18,0.07,0.07,"spam"
0,0,0.91,0,0.532,0,"spam"
1.81,0,0,0,0.309,0,"spam"
0,0.43,1.72,0.43,0.129,0,"spam"
0,0,2.17,0.43,1.133,0,"spam"
0.68,0,1.72,0.34,0.718,0,"spam"
0,0.16,0.82,1.64,0.906,0.663,"spam"
0.54,0.06,4.49,0,0.01,0.167,"spam"
0.92,0.11,0.58,0.46,0.322,0.094,"spam"
1.23,0,2.46,0,1.284,0,"spam"
0,0.91,0,0,0.672,0.269,"spam"
1.31,0,1.31,0,0,0.199,"spam"
2.06,0,2.44,0,0.268,0.107,"spam"
2.07,0,2.45,0,0.241,0.107,"spam"
0.32,0.32,2.28,0.32,0,0.157,"spam"
0,0,0,0,0.511,0,"spam"
0.62,0,2.49,0.31,1.152,0,"spam"
0,0,0,0,0,0,"spam"
0,0,0,0,0.511,0,"spam"
0,0,0,0,0,0,"spam"
0,0.17,1.04,1.74,0.754,0.681,"spam"
0,1,2,0,0.275,0.137,"spam"
0,0,3.15,1.05,0.351,0.175,"spam"
0,0.16,0.98,2.13,0.693,0.67,"spam"
0,0,3.07,0,1.434,0,"spam"
1.31,0,1.31,0,0,0.201,"spam"
0,0,3.84,1.28,0.23,0.23,"spam"
0.47,0.94,0.94,0,0.217,0,"spam"
0,0,2.81,0,0.209,0.209,"spam"
0.73,0,1.09,0.36,0.604,0.181,"spam"
1.29,0,1.93,1.29,0.462,0.37,"spam"
0,0,0.43,0.43,0.31,0.062,"spam"
0,0,3.84,1.28,0.23,0.23,"spam"
0,0.6,1.82,0,0,0,"spam"
0.32,0.32,2.28,0.32,0,0.159,"spam"
1.29,0,1.29,0,0,0.198,"spam"
0,0,3.84,1.28,0.23,0.23,"spam"
0.63,0.63,1.27,0.63,0.501,0.3,"spam"
0.65,0,1.96,1.3,0.834,0.463,"spam"
0,0,0.19,0,0,1.121,"spam"
0,0,0.43,0.43,0.31,0.062,"spam"
0.23,0,0.4,0.08,0.406,0.038,"spam"
1.29,0,1.93,1.29,0.462,0.37,"spam"
0,0,0.43,0.43,0.31,0.062,"spam"
0.73,0,1.09,0.36,0.604,0.181,"spam"
0,0,0,0,0,0,"spam"
0,0,3.84,1.28,0.23,0.23,"spam"
0.32,0.32,2.28,0.32,0,0.158,"spam"
0.54,0.06,4.49,0,0.01,0.167,"spam"
1.31,0,1.31,0,0,0.201,"spam"
0,0.45,0.91,0,0.063,0.127,"spam"
0,1.16,3.48,4.65,0,0,"spam"
0,1.25,3.75,6.25,0,0,"spam"
0.02,0,0.07,0.05,0.107,0.017,"spam"
0,0,0,0,5,0,"spam"
0,0,4.36,0.48,2.443,0,"spam"
1.9,0,3.81,0.23,1.018,0.036,"spam"
0.32,0.32,2.28,0.32,0,0.158,"spam"
0,0,0,0,0,0,"spam"
1.9,0,3.81,0.23,1.018,0.036,"spam"
1,1,5,0,0.11,0,"spam"
0.82,0.05,1.53,0.76,0.102,0.259,"spam"
0.32,0.32,2.27,0.32,0,0.157,"spam"
0,0,0.67,0,0.332,0.11,"spam"
0.02,0,0.07,0.05,0.107,0.017,"spam"
0,0,0.67,0,0.802,0.114,"spam"
0.4,0,0.2,0.2,0.831,0.338,"spam"
0,0,1.22,0.61,0.517,0.103,"spam"
0.74,1.48,2.22,0.74,0.108,0,"spam"
0,0,0,0,0.153,0,"spam"
0.7,0,3.12,0.23,0.319,0.479,"spam"
0,0.35,4.25,0.7,0.397,0,"spam"
0,0,3.65,2.43,0,0,"spam"
1.31,0,1.31,0,0,0.199,"spam"
2.52,0,4.44,0.6,0.101,0.202,"spam"
0,0,4.46,0,0,0,"spam"
0.59,0.25,1.62,0.25,0.42,0.114,"spam"
0,0,2.8,0.46,0.663,0,"spam"
0,0.14,0.57,0.86,0.826,0.745,"spam"
0.55,0,4.4,0,0.01,0.169,"spam"
0.55,0,4.4,0,0.01,0.169,"spam"
1.52,0,2.98,0.38,0.429,0.236,"spam"
1.43,0.08,3.58,0.53,0.369,0.109,"spam"
0.67,0,1.86,0.08,0.356,0.101,"spam"
0,0.48,3.36,0,0.163,0,"spam"
0,0,0,0,0,0,"spam"
1.19,0,2.97,0,0.105,0.42,"spam"
0.6,0.6,3.65,0,0.101,0.304,"spam"
1.52,0,2.98,0.38,0.428,0.235,"spam"
0,0,0,0,0.163,0.326,"spam"
0.33,0.33,2.64,1.65,0.537,0,"spam"
0,0.67,3.37,0,0.286,0,"spam"
0.34,0,3.49,0,0.23,0.134,"spam"
0.31,0,2.79,0.31,0,0,"spam"
0,0.96,2.88,0,0.616,0,"spam"
0.7,0.7,5.96,0.7,0.367,0.061,"spam"
0,0,3.31,0.55,0.524,0,"spam"
0,0,1.75,0,0,0,"spam"
0,0,0.89,0,0.52,0,"spam"
1.43,0.08,3.58,0.53,0.369,0.109,"spam"
0.58,0,1.16,1.74,0.165,0.082,"spam"
0.43,0,0.43,0.37,0.034,0.019,"spam"
0,0,0.42,0,2.636,0.683,"spam"
0.76,0.25,2.29,0.25,0.354,0,"spam"
0.59,0.25,1.61,0.25,0.394,0.114,"spam"
0,0.12,0.36,0.12,0.34,0,"spam"
0,0,2.62,0.43,0.577,0.216,"spam"
0.58,0,2.35,0,0.153,0.153,"spam"
0,0.14,2.89,0,0.269,0.08,"spam"
0.62,0.62,1.25,0.62,0.456,0.273,"spam"
1.51,0.33,2.02,0,1.118,0.054,"spam"
0.14,0.14,2.86,0,0.241,0.072,"spam"
0,0,2.56,0,0.255,0.076,"spam"
0.65,0,3.03,0.21,0.443,0.51,"spam"
0,0,1.36,0.68,1.143,0.519,"spam"
0.33,0,1.76,0.55,0.367,0.193,"spam"
0.99,0.49,2.47,0.49,0.497,0.165,"spam"
0,0,4.71,0.94,3.571,0,"spam"
0.89,0.02,3.23,0.16,0.382,0.847,"spam"
0.33,0,1.76,0.55,0.367,0.193,"spam"
0,1.56,0,1.56,0.7,0,"spam"
0,2.22,3.33,3.33,0.146,0,"spam"
0.43,0.86,3.46,2.16,0.801,0,"spam"
0.45,0,2.28,1.36,0,0,"spam"
0.25,0.5,2.03,0,0.412,0.412,"spam"
2.89,0,5.79,1.44,0.277,0,"spam"
0.25,0.5,2.03,0,0.412,0.412,"spam"
0.71,0,1.79,0.35,1.257,0,"spam"
0,0,5.88,0,0,0,"spam"
2.52,0,4.44,0.6,0.101,0.222,"spam"
0.88,0,0.88,0,0.935,0,"spam"
0.48,0.12,2.41,0.12,0.056,0.094,"spam"
0,0,1.31,0,1.007,0,"spam"
0,0,1.2,0,0.421,0.21,"spam"
0,0,0,0,0.19,0.38,"spam"
0,0,1.92,0,1.336,0,"spam"
0.09,0,3.19,0.09,0.334,0.133,"spam"
0,0,0,0,0,3.125,"spam"
0.41,0.13,0.69,0,0,0,"spam"
0.62,0,2.51,0.31,0.777,0,"spam"
0,0.26,0,0.26,0.369,0,"spam"
0.33,0,1.79,0.56,0.373,0.196,"spam"
0.85,0,2.33,0.24,0.041,0.041,"spam"
0.85,0,2.33,0.24,0.041,0.041,"spam"
0.31,0.31,0.31,0.94,0.89,0.046,"spam"
1.03,0,1.54,0,0.8,0.177,"spam"
0.96,0,2.88,0,0.084,0.336,"spam"
0,0,3.22,6.45,0,0,"spam"
0.44,0,2.24,1.34,0,0,"spam"
0.35,0.35,0.53,0.35,0.057,0.171,"spam"
0,0,0.86,1.72,0.251,0.251,"spam"
0,0,0,0,0.186,0.186,"spam"
0.42,0.42,0.84,0,0.187,0,"spam"
0.45,0.45,0.9,0,0.203,0,"spam"
1,1,3.01,0,0.176,0,"spam"
0,0,4.44,0,1.385,0,"spam"
0,0,5,1.25,0,0,"spam"
0,0,0,0,0,0.389,"spam"
0,0,0,0,0.486,0,"spam"
0.52,0,4.53,0,0.141,3.305,"spam"
1.66,0,3.8,0,0,0.04,"spam"
0.83,0.09,3.69,0,0.341,0.085,"spam"
0,0,3.22,0,0.546,0,"spam"
0,0,4.34,0,2.631,0,"spam"
0,0,4.34,0,5.844,0,"spam"
0,0,3.33,0,1.081,0,"spam"
0,0,3.24,2.59,0.574,0,"spam"
0,0,0.93,0,0.536,0,"spam"
0.32,0.64,2.27,0.32,0,0.156,"spam"
0,0,0,0,0.191,0.383,"spam"
0,0,3.7,0,3.448,0,"spam"
0,0,0,0,0.191,0.383,"spam"
0.81,0,0,0,0,0.053,"spam"
0.44,0,1.32,0,0.291,0,"spam"
1.23,0.2,2.89,0.61,0.816,0.065,"spam"
0,0,0,0,4.347,0,"spam"
0.64,0.1,0,0,0.016,0.065,"spam"
1.3,0,3.6,1.14,0.902,0.225,"spam"
0.48,0.09,1.66,0.87,0.318,0.151,"spam"
0,0,0,0,0.396,0,"spam"
0.5,0.1,1.72,0.91,0.297,0.156,"spam"
0,0,5.18,0,1.096,0,"spam"
0.59,0.25,1.61,0.25,0.394,0.114,"spam"
0.25,0,1.79,0,0.26,0.173,"spam"
0,1.05,3.15,0,0.171,0.171,"spam"
0.92,0.1,1.94,1.94,0.518,0.162,"spam"
0.5,0.1,1.72,0.91,0.297,0.156,"spam"
0.44,0.44,0.88,0,0.19,0,"spam"
0.62,0.1,3.43,0.1,0.611,0.264,"spam"
0,0,0,0,0.422,0.634,"spam"
0,0,4,0,0,0,"spam"
2.5,0,5.32,2.5,0.111,0.111,"spam"
1.17,0.11,3.93,0.05,0.492,0.338,"spam"
0.65,0,2.99,0.21,0.478,0.509,"spam"
0,0,0,0,0,0,"spam"
0,0,0,0,0.408,0.408,"spam"
0.96,0,2.41,0,0.084,0.761,"spam"
0.59,0.25,1.61,0.25,0.394,0.114,"spam"
0.19,0,0.95,0.76,0.264,0,"spam"
0.71,0,2.85,0,0.233,0.233,"spam"
1.26,0.31,1.9,0,0.13,0.173,"spam"
1.07,0.06,4.1,0.4,1.06,0.151,"spam"
0.78,0,1.18,3.54,0.843,0.129,"spam"
0,0,0,0,0.919,0.367,"spam"
0.98,0.16,3.74,0,0.507,0.493,"spam"
0,0,6.14,0,0,0.151,"spam"
1.06,0,2.65,0,0.093,0.466,"spam"
0.26,0,2.64,0,0.556,0.069,"spam"
0.68,0,2.9,0.17,0.387,1.961,"spam"
0,0,1.6,0,0.311,0,"spam"
0.79,0.06,3.5,0.59,0.101,0.101,"spam"
0,0,0,0,0.208,0.626,"spam"
0,0.52,2.63,1.05,0.291,0,"spam"
0.31,0,2.79,0,0.057,0,"spam"
0,0,3.87,0,1.116,0.111,"spam"
0,0,3.84,0,1.103,0.11,"spam"
0,0.31,2.19,0.15,0.378,4.017,"spam"
0.95,0.23,1.9,2.13,0.42,0.191,"spam"
0.73,0,2.01,0,0.249,0.031,"spam"
0.94,0,2.83,0,0.082,0.41,"spam"
0.59,0,2.36,0,0.153,0.128,"spam"
0,0,0.81,0,0.125,0,"spam"
0.59,0,2.36,0,0.153,0.128,"spam"
0.7,0.13,3.2,0.27,0.456,0.5,"spam"
0,0,2.45,0,0.382,0.223,"spam"
1.14,0,5.14,0,0.211,0.74,"spam"
1.18,0,5.32,0,0.109,0.763,"spam"
1.21,0,1.21,0,0.121,0.121,"spam"
0.77,0.77,0.77,0.19,0.185,0.216,"spam"
0,0,0,0,0.21,0.632,"spam"
0,0,0,0,0.203,0.61,"spam"
0.64,0.1,0,0,0.016,0.065,"spam"
0,0.9,1.81,0,0.537,0,"spam"
2.04,1.02,3.06,2.04,0,0.17,"spam"
0.56,0.56,1.97,1.41,0.153,0,"spam"
0,0,1.85,0.92,0.142,0.5,"spam"
1.14,0,3.86,0.14,0.094,0.118,"spam"
1.74,0,4.95,0,0,0,"spam"
0,0,1.67,0,0.088,0.353,"spam"
0,0,12.5,0,0,0,"spam"
0,0,0.81,0,0.121,0,"spam"
0,0,4.41,0,0,0,"spam"
0.8,1.07,3.5,0,0.324,0,"spam"
0.67,0.67,2.02,0,0,0.048,"spam"
0,0.4,2.04,0,0.11,0,"spam"
1.44,0,1.65,0.41,1.689,0.132,"spam"
0.9,0.9,2.72,0,0.774,0,"spam"
2,0,3.33,0,0.111,0,"spam"
0.65,0,2.96,0.21,0.439,0.505,"spam"
1.41,0,0.84,0,1.289,0.042,"spam"
0.57,0,3.47,0.16,0.213,0.113,"spam"
0.34,0.34,4.76,2.04,0.215,0,"spam"
0.25,0,1.93,0.77,1.082,0.299,"spam"
0.39,0,1.56,0.78,0,0.092,"spam"
0,0,0.82,0.66,0.616,0,"spam"
0.68,0,3.4,0,0.232,0.232,"spam"
0.32,0.64,2.25,0.32,0,0.156,"spam"
0.45,1.36,2.73,1.82,0.368,0,"spam"
0.62,1.25,5,2.5,0.225,0,"spam"
0.62,1.25,5,2.5,0.223,0,"spam"
